match_id,stage,order,home_slot,away_slot,date
73,round_of_32,73,2A,2B,2026-06-28
74,round_of_32,74,1E,3-ABCDF,2026-06-29
75,round_of_32,75,1F,2C,2026-06-29
76,round_of_32,76,1C,2F,2026-06-29
77,round_of_32,77,1I,3-CDFGH,2026-06-30
78,round_of_32,78,2E,2I,2026-06-30
79,round_of_32,79,1A,3-CEFHI,2026-06-30
80,round_of_32,80,1L,3-EHIJK,2026-07-01
81,round_of_32,81,1D,3-BEFIJ,2026-07-01
82,round_of_32,82,1G,3-AEHIJ,2026-07-01
83,round_of_32,83,2K,2L,2026-07-02
84,round_of_32,84,1H,2J,2026-07-02
85,round_of_32,85,1B,3-EFGIJ,2026-07-02
86,round_of_32,86,1J,2H,2026-07-03
87,round_of_32,87,1K,3-DEIJL,2026-07-03
88,round_of_32,88,2D,2G,2026-07-03
89,round_of_16,89,W74,W77,2026-07-04
90,round_of_16,90,W73,W75,2026-07-04
91,round_of_16,91,W76,W78,2026-07-05
92,round_of_16,92,W79,W80,2026-07-05
93,round_of_16,93,W83,W84,2026-07-06
94,round_of_16,94,W81,W82,2026-07-06
95,round_of_16,95,W86,W88,2026-07-07
96,round_of_16,96,W85,W87,2026-07-07
97,quarterfinal,97,W89,W90,2026-07-09
98,quarterfinal,98,W93,W94,2026-07-10
99,quarterfinal,99,W91,W92,2026-07-11
100,quarterfinal,100,W95,W96,2026-07-11
101,semifinal,101,W97,W98,2026-07-14
102,semifinal,102,W99,W100,2026-07-15
103,third_place,103,L101,L102,2026-07-18
104,final,104,W101,W102,2026-07-19
