team,p_round_of_32,p_round_of_16,p_quarterfinal,p_semifinal,p_final,p_champion
Spain,0.99436,0.75564,0.56616,0.45764,0.32968,0.21774
Argentina,0.98114,0.71706,0.5869,0.44174,0.31518,0.20284
France,0.9598,0.75522,0.5201,0.34818,0.19162,0.1074
Brazil,0.9649,0.6495,0.4421,0.27256,0.13996,0.07234
England,0.96622,0.65902,0.40778,0.23612,0.1199,0.05906
Portugal,0.93472,0.6436,0.39292,0.21104,0.11468,0.05392
Colombia,0.92164,0.6213,0.36376,0.19492,0.10418,0.04806
Germany,0.95406,0.66608,0.34996,0.19428,0.08644,0.03724
Netherlands,0.91308,0.49974,0.3116,0.16034,0.06902,0.02872
Belgium,0.9115,0.61256,0.33252,0.12736,0.05862,0.02138
Japan,0.90498,0.47176,0.28396,0.13492,0.05468,0.02104
Ecuador,0.9206,0.58134,0.27558,0.13764,0.05472,0.02096
Morocco,0.9017,0.4721,0.268,0.12392,0.04746,0.01732
Mexico,0.99162,0.64014,0.29046,0.12166,0.04336,0.01444
Croatia,0.89536,0.47358,0.21926,0.10206,0.03972,0.01406
Uruguay,0.89104,0.3457,0.18572,0.08756,0.03542,0.01186
Switzerland,0.93646,0.55124,0.23052,0.08068,0.02994,0.0096
Turkey,0.74478,0.3998,0.15754,0.05324,0.01874,0.00564
South Korea,0.95896,0.55404,0.21168,0.0725,0.02094,0.00552
Iran,0.81416,0.45216,0.18394,0.05794,0.02018,0.00534
Norway,0.71506,0.34738,0.13814,0.0507,0.01574,0.00456
Senegal,0.70872,0.33842,0.13378,0.04642,0.01416,0.00392
United States,0.98122,0.51152,0.1979,0.049,0.01512,0.00364
Algeria,0.71632,0.2426,0.10526,0.03682,0.01234,0.00322
Austria,0.66188,0.21624,0.09242,0.03028,0.00926,0.00248
Canada,0.88962,0.41932,0.13464,0.03598,0.00966,0.00218
Australia,0.67524,0.31542,0.10902,0.03042,0.0088,0.002
Ivory Coast,0.70526,0.2619,0.07628,0.0176,0.00386,0.00064
Egypt,0.59878,0.23428,0.0609,0.01336,0.00292,0.00062
Paraguay,0.29178,0.10508,0.02888,0.00864,0.002,0.00054
Uzbekistan,0.5107,0.14992,0.03998,0.01046,0.00196,0.0004
Czech Republic,0.48772,0.16266,0.04678,0.00808,0.0016,0.00032
Scotland,0.52944,0.14308,0.04416,0.01012,0.00188,0.0003
Panama,0.58692,0.15454,0.0431,0.0097,0.0022,0.00028
Sweden,0.44962,0.11532,0.03298,0.00738,0.00132,0.00018
Iraq,0.30638,0.08324,0.01772,0.00286,0.00038,6e-05
Jordan,0.30414,0.06046,0.015,0.0025,0.00052,6e-05
Tunisia,0.39182,0.0864,0.01956,0.0032,0.00054,4e-05
DR Congo,0.28848,0.05748,0.01086,0.0021,0.00036,4e-05
Haiti,0.2607,0.03946,0.00612,0.00084,6e-05,2e-05
New Zealand,0.38354,0.10506,0.01806,0.00254,0.00038,2e-05
Cape Verde,0.27912,0.03144,0.00488,0.00048,8e-05,0.0
Bosnia and Herzegovina,0.5748,0.1178,0.01656,0.00144,0.0002,0.0
Curaçao,0.14016,0.01504,0.00158,0.0001,0.0,0.0
Ghana,0.20466,0.02068,0.00238,0.00028,2e-05,0.0
South Africa,0.21474,0.04382,0.00704,0.0004,0.0,0.0
Qatar,0.29938,0.04416,0.00448,0.00036,2e-05,0.0
Saudi Arabia,0.38272,0.0557,0.01108,0.00164,0.00018,0.0
